x,y,z,sx,sy,txy
3.0,0.75,0.0,-36.000021697271706,-2.0027635097503664e-6,1.106642241321683
2.75,0.75,0.0,-36.75002378265744,1.4484915733337403e-6,0.9683082635529637
3.25,0.5,0.0,-1.1920928955078126e-11,4.76837158203125e-13,1.6703962640226484
3.5,0.75,0.0,-34.50002060829341,-2.385854721069336e-7,1.1066370428500176
3.25,0.75,0.0,-35.25002125068224,1.7252278327941893e-7,0.9683161590034962
3.75,0.5,0.0,-1.2636184692382813e-11,1.9073486328125e-12,1.6703941639615296
4.0,0.75,0.0,-33.00001969026029,-2.841949462890625e-8,1.106636423668623
3.75,0.75,0.0,-33.75002016088164,2.0549774169921876e-8,0.9683170994175673
4.25,0.5,0.0,-1.239776611328125e-11,-2.86102294921875e-12,1.6703939138295054
4.5,0.75,0.0,-31.500018792690515,-3.3845901489257813e-9,1.1066363499212264
4.25,0.75,0.0,-32.2500192428571,2.4471282958984376e-9,0.9683172114309072
4.75,0.5,0.0,-1.33514404296875e-11,2.86102294921875e-12,1.6703938840439319
5.0,0.75,0.0,-30.000017897553324,-4.024505615234375e-10,1.1066363411459923
4.75,0.75,0.0,-30.750018345285653,2.9468536376953123e-10,0.968317224776268
5.25,0.5,0.0,-1.3828277587890625e-11,3.814697265625e-12,1.6703938805030585
5.5,0.75,0.0,-28.500017002699852,-4.9591064453125e-11,1.1066363400979042
5.25,0.75,0.0,-29.25001745014548,3.62396240234375e-11,0.968317226369381
5.75,0.5,0.0,-1.430511474609375e-11,-3.814697265625e-12,1.6703938800827265
6.0,0.75,0.0,-27.0000161078794,-8.106231689453125e-12,1.106636339978218
5.75,0.75,0.0,-27.7500165552907,5.7220458984375e-12,0.9683172265605926
6.25,0.5,0.0,-1.430511474609375e-11,-5.7220458984375e-12,1.6703938800351619
6.5,0.75,0.0,-25.500015213060856,-6.67572021484375e-12,1.106636339963913
6.25,0.75,0.0,-26.250015660468577,3.814697265625e-12,0.9683172265849114
6.75,0.5,0.0,-1.9073486328125e-11,-1.9073486328125e-12,1.6703938800332547
7.0,0.75,0.0,-24.000014318240165,-4.76837158203125e-13,1.1066363399648667
6.75,0.75,0.0,-24.750014765648842,4.76837158203125e-12,0.9683172265896797
7.25,0.5,0.0,-1.71661376953125e-11,-3.814697265625e-12,1.6703938800373077
7.5,0.75,0.0,-22.500013423407317,-6.67572021484375e-12,1.106636339969635
7.25,0.75,0.0,-23.250013870821,1.9073486328125e-12,0.968317226591587
7.75,0.5,0.0,-1.71661376953125e-11,-1.1444091796875e-11,1.6703938800461293
8.0,0.75,0.0,-21.00001252857113,-6.67572021484375e-12,1.1066363399763108
7.75,0.75,0.0,-21.750012975987435,-1.9073486328125e-12,0.968317226597786
8.25,0.5,0.0,-2.09808349609375e-11,-1.1444091796875e-11,1.6703938800525666
8.5,0.75,0.0,-19.500011633732797,0.0,1.1066363399772643
8.25,0.75,0.0,-20.25001208115101,1.9073486328125e-12,0.9683172266016007
8.75,0.5,0.0,-1.9073486328125e-11,3.814697265625e-12,1.67039388006711
9.0,0.75,0.0,-18.00001073887348,2.86102294921875e-12,1.1066363399934769
8.75,0.75,0.0,-18.750011186303617,1.9073486328125e-12,0.9683172266101837
9.25,0.5,0.0,-1.621246337890625e-11,-1.1444091796875e-11,1.670393880092144
9.5,0.75,0.0,-16.500009843993663,-9.5367431640625e-13,1.1066363400115966
9.25,0.75,0.0,-17.25001029143381,-5.7220458984375e-12,0.9683172266244888
9.75,0.5,0.0,-7.62939453125e-12,1.1444091796875e-11,1.6703938801283837
10.0,0.75,0.0,-15.000008949087142,1.9073486328125e-12,1.1066363400535584
9.75,0.75,0.0,-15.75000939653778,3.814697265625e-12,0.9683172266426087
10.25,0.5,0.0,-3.814697265625e-12,1.9073486328125e-11,1.6703938801665306
10.5,0.75,0.0,-13.500008054159164,2.47955322265625e-11,1.1066363401050567
10.25,0.75,0.0,-14.25000850161934,5.7220458984375e-12,0.9683172266330718
10.75,0.5,0.0,-7.62939453125e-12,0.0,1.6703938804163934
11.0,0.75,0.0,-12.000007159215928,2.3651123046875e-10,1.1066363407211304
10.75,0.75,0.0,-12.750007606676101,-1.52587890625e-11,0.9683172265310287
11.25,0.5,0.0,3.814697265625e-12,7.62939453125e-12,1.6703938824539184
11.5,0.75,0.0,-10.50000626408577,1.9130706787109375e-9,1.1066363457202912
11.25,0.75,0.0,-11.25000671155548,-1.52587890625e-10,0.9683172256345749
11.75,0.5,0.0,0.0,-2.288818359375e-11,1.6703938994255065
12.0,0.75,0.0,-9.000005367625713,1.6172409057617188e-8,1.1066363877487182
11.75,0.75,0.0,-9.750005815040588,-1.392364501953125e-9,0.968317218038559
12.25,0.5,0.0,-5.7220458984375e-12,1.52587890625e-11,1.670394041899681
12.5,0.75,0.0,-7.500004461637974,1.348247528076172e-7,1.1066367409763336
12.25,0.75,0.0,-8.250004906916619,-1.1684417724609376e-8,0.9683171542510987
12.75,0.5,0.0,-1.1444091796875e-11,-2.288818359375e-11,1.6703952339549064
13.0,0.75,0.0,-6.000003469731808,1.115694046020508e-6,1.1066397457351684
12.75,0.75,0.0,-6.750003907025337,-9.670639038085937e-8,0.9683166182374954
13.25,0.5,0.0,-5.7220458984375e-12,0.0,1.6704048934249878
13.5,0.75,0.0,-4.499991823344708,1.2082099914550782e-5,1.106666951675415
13.25,0.75,0.0,-5.250002590436935,-6.845016479492187e-7,0.9683120938920975
13.75,0.5,0.0,-3.814697265625e-12,7.62939453125e-12,1.670464258354187
14.0,0.75,0.0,-2.9987344772109985,0.0005115550918579102,1.1069268157272338
13.75,0.75,0.0,-3.7500231149988172,1.7445106506347657e-6,0.9682729257678986
14.25,0.5,0.0,3.814697265625e-12,-7.62939453125e-12,1.6701857795171737
14.5,0.75,0.0,-1.4005578231148719,0.03918305238723755,1.102538621673584
14.25,0.75,0.0,-2.2507885363044737,0.00024571417236328127,0.9679297964897156
14.75,0.5,0.0,3.814697265625e-12,7.62939453125e-12,1.688411457383156
14.75,0.75,0.0,-0.6970250641708374,-0.009418690399169921,0.9695208570823669
0.5,0.25,0.0,45.33621785001768,0.721270107595861,1.4032957685631011
0.25,0.25,0.0,43.39454538306267,0.2937237976215724,0.5712971010090485
1.0,0.25,0.0,42.01663615061235,0.01420389157885313,1.1390726270142495
0.75,0.25,0.0,42.71998078410308,0.004385138121530414,0.9219202296379618
1.5,0.25,0.0,40.500160774893494,0.0011607212072908878,1.1101904259597064
1.25,0.25,0.0,41.25040325948757,-0.0006596517471671104,0.9629747038970738
2.0,0.25,0.0,39.000036037956086,0.0001398149386048317,1.1070531308167577
1.75,0.25,0.0,39.75014570759177,-9.978714168071746e-5,0.9676849245717227
2.5,0.25,0.0,37.50002416517848,1.6790657043457033e-5,1.1066858929628134
2.25,0.25,0.0,38.2500383531929,-1.2145238995552063e-5,0.9682419712551832
3.0,0.25,0.0,36.00002169724822,2.0027627944946287e-6,1.1066422413215637
2.75,0.25,0.0,36.75002378263438,-1.4484903812408446e-6,0.968308263553381
3.5,0.25,0.0,34.50002060826826,2.385866641998291e-7,1.1066370428497792
3.25,0.25,0.0,35.25002125065816,-1.7251992225646974e-7,0.9683161590032577
4.0,0.25,0.0,33.000019690235135,2.841806411743164e-8,1.106636423670292
3.75,0.25,0.0,33.75002016085708,-2.0546913146972658e-8,0.9683170994179249
4.5,0.25,0.0,31.500018792663216,3.384113311767578e-9,1.106636349919796
4.25,0.25,0.0,32.25001924283111,-2.4485588073730468e-9,0.9683172114303112
5.0,0.25,0.0,30.000017897526146,4.0388107299804687e-10,1.1066363411455153
4.75,0.25,0.0,30.750018345260145,-2.875328063964844e-10,0.9683172247769832
5.5,0.25,0.0,28.500017002672077,4.76837158203125e-11,1.1066363401007653
5.25,0.25,0.0,29.250017450119017,-3.24249267578125e-11,0.9683172263698578
6.0,0.25,0.0,27.00001610785091,4.76837158203125e-12,1.106636339978218
5.75,0.25,0.0,27.750016555263997,-5.7220458984375e-12,0.9683172265603542
6.5,0.25,0.0,25.5000152130301,1.9073486328125e-12,1.1066363399629593
6.25,0.25,0.0,26.250015660439967,-2.86102294921875e-12,0.9683172265839577
7.0,0.25,0.0,24.000014318202734,3.337860107421875e-12,1.106636339963913
6.75,0.25,0.0,24.750014765616417,-9.5367431640625e-13,0.9683172265892028
7.5,0.25,0.0,22.50001342337513,-4.76837158203125e-12,1.106636339972496
7.25,0.25,0.0,23.2500138707881,1.9073486328125e-12,0.9683172265920639
8.0,0.25,0.0,21.00001252853298,-5.7220458984375e-12,1.1066363399772643
7.75,0.25,0.0,21.750012975955485,-5.7220458984375e-12,0.9683172265987396
