x,y,z,sx,sy,txy
1.5,1.0,0.0,-81.00397374027378,-0.006711638975143433,0.3013509262391329
2.0,1.0,0.0,-78.00051143729985,-0.0007973954043388367,0.3037355159032345
2.5,1.0,0.0,-75.00010323747098,-9.495385599136352e-5,0.30401812855136395
3.0,1.0,0.0,-72.00005296474563,-1.1309690952301025e-5,0.3040517250078917
3.5,1.0,0.0,-69.000045272928,-1.3470840454101562e-6,0.30405572541451453
4.0,1.0,0.0,-66.00004265281724,-1.6045379638671876e-7,0.3040562018814087
4.5,1.0,0.0,-63.00004063678646,-1.9120216369628907e-8,0.30405625863695146
5.0,1.0,0.0,-60.0000386926899,-2.28118896484375e-9,0.3040562653970718
5.5,1.0,0.0,-57.000036757166384,-2.727508544921875e-10,0.3040562661991119
6.0,1.0,0.0,-54.00003482264328,-4.1961669921875e-11,0.3040562663040161
6.5,1.0,0.0,-51.00003288825512,-2.288818359375e-11,0.30405626630783084
7.0,1.0,0.0,-48.00003095386791,-9.5367431640625e-12,0.30405626631450655
7.5,1.0,0.0,-45.00002901947021,-1.52587890625e-11,0.3040562663116455
8.0,1.0,0.0,-42.00002708506775,-2.6702880859375e-11,0.3040562663202286
8.5,1.0,0.0,-39.00002515058136,-3.4332275390625e-11,0.30405626632118227
9.0,1.0,0.0,-36.00002321608448,-3.0517578125e-11,0.3040562663183212
9.5,1.0,0.0,-33.000021281585695,-3.4332275390625e-11,0.30405626630973814
10.0,1.0,0.0,-30.000019347309113,-1.6021728515625e-10,0.3040562663803101
10.5,1.0,0.0,-27.000017410301208,-5.76019287109375e-10,0.30405626859283447
11.0,1.0,0.0,-24.00001543744278,3.41796875e-9,0.30405627602005003
11.5,1.0,0.0,-21.000013501327516,3.287506103515625e-8,0.3040561560192108
12.0,1.0,0.0,-18.000014585567474,-3.27545166015625e-7,0.3040550719566345
12.5,1.0,0.0,-15.000029571350098,-6.071693420410156e-6,0.3040594081802368
13.0,1.0,0.0,-11.999898656963348,-1.744093322753906e-5,0.30416920770835876
13.5,1.0,0.0,-8.998066388425826,0.000395950927734375,0.30440231323623657
14.0,1.0,0.0,-5.999744789985657,0.005627945205688476,0.29570404275131223
14.5,1.0,0.0,-3.193017725889206,0.044371984519958496,0.12955771990203857
0.5,0.5,0.0,-1.1883676052093506e-11,2.980232238769531e-14,1.4378913795290738
1.0,0.5,0.0,-1.1779367923736572e-11,2.980232238769531e-14,1.807080146237448
1.5,0.5,0.0,-1.1712312698364258e-11,4.1723251342773437e-13,1.8211008973962814
2.0,0.5,0.0,-1.1801719665527343e-11,8.344650268554687e-13,1.8224907984452248
2.5,0.5,0.0,-1.239776611328125e-11,0.0,1.822655666310072
3.0,0.5,0.0,-1.2040138244628906e-11,-1.1920928955078126e-12,1.8226753415215016
3.5,0.5,0.0,-1.2636184692382813e-11,-4.76837158203125e-13,1.8226776860108376
4.0,0.5,0.0,-1.347064971923828e-11,0.0,1.8226779652757645
4.5,0.5,0.0,-1.3589859008789063e-11,2.86102294921875e-12,1.8226779985449315
5.0,0.5,0.0,-1.33514404296875e-11,1.9073486328125e-12,1.8226780025184155
5.5,0.5,0.0,-1.3589859008789063e-11,-3.814697265625e-12,1.8226780029866696
6.0,0.5,0.0,-1.549720764160156e-11,9.5367431640625e-12,1.8226780030565262
6.5,0.5,0.0,-1.430511474609375e-11,1.9073486328125e-12,1.8226780030546188
